,year,category,economic_sectors,source,type,fuel_type,gas,value_mmtco2e
0,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CO2,5.0249092555349995
1,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CO2,1.8523517549328
2,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.6112008329617667
3,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,N2O,0.023956964999999997
4,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0038699471999999995
5,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00030926142
6,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CH4,0.0013398749999999997
7,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.001628711
8,1990,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00027386124999999995
9,1990,Estimate,Electric power - in-state generation,Transmission and Distribution,Non-Energy,N/A,SF6,0.07753733485682929
10,1990,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,0.4308782356465002
11,1990,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.0016872663656159299
12,1990,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.00019479300928341986
13,1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,4.531621105399222
14,1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
15,1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.20134805557940796
16,1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000019559782320971632
17,1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.02718977118011563
18,1990,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,6.802262659542967E-7
19,1990,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00050136939211674
20,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.07706334164166
21,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,3.06723974148414
22,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.8926998908660898
23,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.0003814082970189229
24,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.00649352213273524
25,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00046289227912831287
26,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000269762
27,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00022527715500000008
28,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0030962365
29,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00040835749999999993
30,1990,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00016310524999999998
31,1990,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.2015237484258164
32,1990,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00011336480750435289
33,1990,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.1740597750962309
34,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.010219518777
35,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.669910694704847
36,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.38889779823436665
37,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.00005068499999999999
38,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0017444939999999999
39,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00020470230000000004
40,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.0014183119999999997
41,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.00068827941
42,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0019735291799999996
43,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0007318657499999999
44,1990,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.0072026530799999995
45,1990,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00002017662192906486
46,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.04097183216099999
47,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.31845097329567024
48,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.21620745795256668
49,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.000203205
50,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.000821562
51,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0001138041
52,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000155496
53,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00009195353999999998
54,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00092942514
55,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00040688025
56,1990,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.0007896596399999999
57,1990,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00013252145669468495
