region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
10001040100,Delaware,39.29936981201172,39.17346954345703,-75.60411071777344,-75.76007080078125,39.237281799316406,-75.69474029541016,1032.75,27.0,3.5889070146818924,61.36363636363637,118.0,572.0,261.0,248.0,52.0,38.0,1251.0,9.5,312.75,32094.48251342773,185084.26445922852,74208.79138183595,76570.19130249023,14810.992364501952,12086.30014038086,382768.7220214843,"[[0,2],[5,12],[10,5],[15,5],[20,3]]",243.23445383104135,0.0
10001040202,Delaware,39.302581787109375,39.2222785949707,-75.5798110961914,-75.6545181274414,39.260047912597656,-75.614501953125,1032.75,303.0,6.662423085083811,96.4968152866242,358.0,4378.0,2809.0,4447.0,47.0,34.0,12039.0,8.5,3009.75,94197.09431762698,1440711.0543945313,770469.3765686036,1364617.2095458992,13889.338256835938,10761.32373046875,3683884.073083493,"[[0,29],[5,158],[10,73],[15,32],[20,8],[25,2],[95,1]]",2340.96329961632,0.0
10001040501,Delaware,39.2441291809082,39.16810989379883,-75.50238800048828,-75.58809661865234,39.19968795776367,-75.54396057128906,1032.75,1527.0,106.92350642099386,79.73890339425587,5689.0,31490.0,15728.0,19735.0,65525.0,36.0,138167.0,9.0,34541.75,1504867.118444824,10224332.588189691,4533994.49588623,5837914.466943361,20103306.05203247,11072.841986083984,42204414.721496575,"[[0,306],[5,515],[10,350],[15,139],[20,64],[25,31],[30,21],[35,12],[40,11],[45,5],[50,9],[55,3],[60,4],[65,3],[70,4],[75,2],[80,3],[85,4],[90,2],[95,1],[100,2],[105,1],[110,2],[115,2],[130,3],[140,1],[145,2],[150,1],[155,1],[160,1],[165,1],[180,1],[210,2],[220,1],[230,1],[235,1],[255,1],[265,2],[360,1],[450,1],[655,1],[770,1],[925,1],[975,1],[1035,1],[1045,1],[1080,1],[1160,1],[1720,1],[2195,1]]",26819.24403286481,7.0
10001040502,Delaware,39.25205993652344,39.17679977416992,-75.4794692993164,-75.5811767578125,39.21717834472656,-75.53070831298828,1032.75,812.0,94.56625357483315,81.85483870967742,3331.0,9701.0,13064.0,14614.0,2186.0,46.0,42896.0,11.5,10724.0,889536.8728149413,3122315.239221191,3719465.805316164,4439723.730267335,651120.5763916015,13907.721166992187,12822162.224011226,"[[0,105],[5,222],[10,242],[15,135],[20,61],[25,18],[30,7],[35,2],[40,4],[45,6],[50,1],[55,1],[60,4],[80,1],[90,1],[100,1],[175,1]]",8147.979304629091,3.0
10001040700,Delaware,39.1910514831543,39.158729553222656,-75.5428466796875,-75.58624267578125,39.17451858520508,-75.56394958496094,1032.75,1119.0,98.812351543943,67.24759615384616,2181.0,18207.0,10086.0,12464.0,7941.0,23.0,50879.0,5.75,12719.75,571361.4149169923,5762271.706884767,2850928.9537475584,3630545.27473755,2396236.704461669,6928.698632812499,15211344.054748531,"[[0,443],[5,390],[10,153],[15,49],[20,18],[25,19],[30,8],[35,7],[40,2],[45,1],[50,2],[55,2],[60,1],[70,3],[75,1],[85,1],[90,1],[95,1],[100,3],[105,4],[110,1],[115,1],[120,1],[125,1],[250,1],[280,2],[395,1],[445,1],[540,1]]",9666.210299662742,0.0
10001040700,Delaware,39.1910514831543,39.158729553222656,-75.5428466796875,-75.58624267578125,39.17451858520508,-75.56394958496094,,0.0,0.0593824228028503,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,5.75,,0.0,0.0,0.0,0.0,0.0,6928.698632812499,,"[[0,443],[5,390],[10,153],[15,49],[20,18],[25,19],[30,8],[35,7],[40,2],[45,1],[50,2],[55,2],[60,1],[70,3],[75,1],[85,1],[90,1],[95,1],[100,3],[105,4],[110,1],[115,1],[120,1],[125,1],[250,1],[280,2],[395,1],[445,1],[540,1]]",0.0,0.0
10001040900,Delaware,39.180999755859375,39.161109924316406,-75.5152816772461,-75.53157806396484,39.16912078857422,-75.524658203125,1032.75,411.0,98.05194805194805,68.04635761589404,941.0,6538.0,3844.0,5840.0,15097.0,26.0,32260.0,6.5,8065.0,241862.39647216795,2027207.4425170904,1055852.3043945313,1710667.1901733398,4610926.777435303,7710.72685546875,9646516.11099242,"[[0,147],[5,132],[10,51],[15,14],[20,8],[25,4],[30,4],[35,5],[40,3],[50,2],[55,4],[60,4],[65,1],[70,5],[75,3],[80,1],[85,2],[90,4],[95,2],[105,1],[110,3],[120,1],[125,2],[130,1],[175,1],[180,1],[195,2],[285,1],[410,1],[600,1]]",6129.9812200900915,1.0
10001041000,Delaware,39.19683074951172,39.133270263671875,-75.44351196289062,-75.51712036132812,39.16272735595703,-75.47721862792969,1032.75,1423.0,103.29358319136854,78.22979659153381,5874.0,22335.0,17536.0,21339.0,59417.0,33.0,126501.0,8.25,31625.25,1550880.567504883,7207580.423834231,4928774.660772703,6414256.837451176,18323256.465002436,9939.437231445312,38424748.95456544,"[[0,378],[5,469],[10,241],[15,90],[20,54],[25,34],[30,24],[35,18],[40,10],[45,10],[50,14],[55,7],[60,4],[65,7],[70,5],[75,4],[80,6],[85,1],[90,4],[95,2],[100,3],[105,1],[110,3],[115,2],[120,1],[125,2],[130,1],[135,1],[140,1],[145,2],[160,3],[175,1],[180,1],[185,1],[210,1],[235,2],[245,1],[265,1],[270,1],[285,1],[295,1],[300,1],[325,1],[350,1],[425,1],[460,1],[470,1],[605,1],[1490,1],[1630,1],[3170,1]]",24417.415237585723,1.0
10001041100,Delaware,39.14878845214844,39.08496856689453,-75.4433364868164,-75.4991683959961,39.119529724121094,-75.46817016601562,1032.75,575.0,99.33110367892976,96.8013468013468,14390.0,23883.0,25356.0,23495.0,53891.0,118.0,141015.0,29.5,35253.75,3804779.869110106,7881032.270263671,7851320.193005371,6816976.04436035,16681931.014666757,36235.4966796875,43036039.39140625,"[[0,16],[5,18],[10,30],[15,56],[20,90],[25,82],[30,53],[35,46],[40,44],[45,26],[50,9],[55,6],[60,5],[65,4],[70,5],[75,10],[80,2],[85,3],[90,1],[95,2],[100,1],[105,3],[110,3],[115,1],[120,2],[125,2],[130,3],[135,3],[140,4],[145,1],[150,1],[155,1],[160,2],[165,2],[170,1],[175,2],[185,1],[190,4],[195,1],[200,3],[205,3],[210,1],[225,1],[230,1],[235,1],[245,1],[250,2],[255,1],[285,1],[310,2],[315,1],[325,1],[415,1],[435,1],[455,1],[505,1],[620,1],[745,1],[885,1],[975,1],[1225,1],[3150,1]]",27347.708770813115,1.0
10001041200,Delaware,39.16062927246094,39.1150016784668,-75.4881362915039,-75.52288818359375,39.13370132446289,-75.5064697265625,1032.75,1215.0,109.04071773636991,76.89873417721519,4742.0,23331.0,11444.0,13493.0,30812.0,36.0,83822.0,9.0,20955.5,1255446.203222656,7502792.502325441,3318256.741796874,3899778.287750244,9471408.20148926,10666.400561523436,25447681.936584484,"[[0,264],[5,417],[10,265],[15,116],[20,44],[25,18],[30,10],[35,9],[40,3],[45,4],[50,6],[55,5],[60,6],[65,4],[70,1],[75,2],[80,6],[85,3],[95,2],[100,5],[105,3],[110,3],[120,1],[135,2],[150,2],[160,1],[180,1],[190,1],[210,2],[235,1],[310,1],[320,1],[350,1],[375,1],[460,1],[490,1],[520,1],[1055,1]]",16171.00003475141,3.0
10001041300,Delaware,39.16326904296875,39.13711929321289,-75.51216888427734,-75.52826690673828,39.15299987792969,-75.52027893066406,1032.75,695.0,97.5609756097561,75.54347826086956,2519.0,13204.0,6846.0,9350.0,22519.0,31.0,54438.0,7.75,13609.5,660592.6407287599,4248153.017651369,1936131.5093933109,2697140.2522155754,6796949.823870852,9228.218408203124,16338967.24385986,"[[0,218],[5,201],[10,98],[15,47],[20,22],[25,18],[30,8],[35,12],[40,11],[45,4],[50,7],[55,4],[60,4],[65,2],[70,3],[75,3],[80,3],[85,2],[90,1],[95,1],[100,2],[105,1],[110,2],[120,1],[125,1],[130,4],[140,1],[145,2],[165,1],[175,1],[185,1],[210,1],[230,1],[245,1],[255,1],[265,1],[300,1],[355,1],[370,1],[565,1]]",10382.77044355902,1.0
10001041400,Delaware,39.161109924316406,39.12273025512695,-75.52484130859375,-75.56095886230469,39.14741516113281,-75.54360961914062,1032.75,883.0,96.99312714776632,78.21080602302924,3767.0,16686.0,10291.0,13481.0,50717.0,30.0,94942.0,7.5,23735.5,995215.5613769531,5409730.150604248,2917347.896472169,3919944.383148194,15572958.463195795,8884.2796875,28815196.45479735,"[[0,233],[5,331],[10,96],[15,55],[20,20],[25,19],[30,19],[35,5],[40,7],[45,4],[50,7],[55,3],[60,6],[65,5],[70,8],[75,6],[80,8],[85,5],[90,3],[95,5],[100,6],[105,5],[110,3],[115,3],[120,1],[125,2],[130,2],[135,1],[140,2],[145,1],[155,1],[160,2],[165,1],[205,1],[260,1],[265,1],[660,1],[890,1],[1440,1],[1770,1],[2970,1]]",18310.922937228377,2.0
10001041400,Delaware,39.161109924316406,39.12273025512695,-75.52484130859375,-75.56095886230469,39.14741516113281,-75.54360961914062,,0.0,0.3436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,7.5,,0.0,0.0,0.0,0.0,0.0,8884.2796875,,"[[0,233],[5,331],[10,96],[15,55],[20,20],[25,19],[30,19],[35,5],[40,7],[45,4],[50,7],[55,3],[60,6],[65,5],[70,8],[75,6],[80,8],[85,5],[90,3],[95,5],[100,6],[105,5],[110,3],[115,3],[120,1],[125,2],[130,2],[135,1],[140,2],[145,1],[155,1],[160,2],[165,1],[205,1],[260,1],[265,1],[660,1],[890,1],[1440,1],[1770,1],[2970,1]]",0.0,0.0
10001041500,Delaware,39.14445877075195,39.12131118774414,-75.52545166015625,-75.55481719970703,39.13242721557617,-75.53813934326172,1032.75,945.0,98.03625377643505,72.80431432973806,1957.0,12536.0,8451.0,10394.0,16854.0,32.0,50192.0,8.0,12548.0,513942.6262207031,3921518.5437194826,2448299.241711425,2944946.0086853025,5156190.023321533,9302.885803222656,14984896.443658466,"[[0,210],[5,435],[10,201],[15,38],[20,6],[25,6],[30,4],[35,7],[40,3],[45,4],[50,4],[55,5],[60,3],[65,2],[70,4],[75,1],[80,3],[85,2],[100,1],[120,1],[130,1],[290,1],[305,1],[470,1],[1580,1]]",9522.31175770781,4.0
10001041600,Delaware,39.140289306640625,39.11296081542969,-75.51557922363281,-75.53755950927734,39.12461471557617,-75.52570343017578,1032.75,719.0,97.45676500508648,75.05219206680584,2718.0,13200.0,8695.0,7820.0,6835.0,41.0,39268.0,10.25,9817.0,714571.6049743654,4091060.4312805193,2473603.1672973633,2192360.7233215333,2076706.3033996583,12152.266552734374,11548302.230273442,"[[0,128],[5,203],[10,207],[15,92],[20,37],[25,18],[30,18],[35,1],[40,3],[45,2],[55,1],[60,1],[70,1],[95,1],[185,1],[205,1],[230,1],[245,1],[250,1],[300,1]]",7338.491428509909,4.0
