Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
R00437,Bear,19701,07/25/2008,PV,Residential,0.3,,,,3194.67,1322.38,,,Paid
R00400,Middletown,19709,04/07/2008,PV,Residential,0.426,,,,3000.00,903.00,,,Paid
R00837,Ocean View,19970,06/18/2009,PV,Residential,0.57,,,,4703.00,1175.75,,,Paid
R01477,Rehoboth Beach,19971,01/06/2012,PV,Residential,0.84,,,,3847.20,1050.00,,,Paid
R01176,Middletown,19709,11/30/2010,PV,Residential,0.92,,,,5060.00,1265.00,,,Paid
R00218,Rehoboth Beach,19971,06/22/2007,PV,Residential,1.05,,,,11200.00,5600.00,,,Paid
R01333,New Castle,19720,07/25/2011,PV,Residential,1.05,,,,5033.00,1258.00,,,Paid
R00003,Greenville,19807,09/06/2002,PV,Residential,1.2,,,,10806.00,3782.23,,,Paid
R00420,Middletown,19709,07/22/2008,PV,Residential,1.2,,,,9920.00,4950.00,,,Paid
R01036,Hockessin,19707,05/28/2010,PV,Residential,1.26,,,,6930.00,1732.50,,,Paid
R00717,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00718,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00719,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00720,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00721,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R00722,Bear,19701,03/12/2009,PV,Residential,1.35,,,,10462.50,5231.25,,,Paid
R01024,Bear,19701,05/07/2010,PV,Residential,1.38,,,,12927.69,3231.92,,,Paid
R01128,Wilmington,19804,10/01/2010,PV,Residential,1.38,,,,8004.00,2001.00,,,Paid - ARRA
R00460,Bear,19701,07/24/2008,PV,Residential,1.4,,,,10710.00,5355.00,,,Paid
R00716,Bear,19701,03/12/2009,PV,Residential,1.4,,,,10710.00,5355.00,,,Paid
R01533,Dewey Beach,19971,05/07/2012,PV,Residential,1.41,,,,4200.00,1500.00,,,Paid
NR00027,Wilmington,19809,08/13/2007,PV,Non_Residential,1.456,,,,14531.34,7265.69,,,Paid
R00090,Ocean View,19970,03/18/2006,PV,Residential,1.5,,,,16381.08,8190.54,,,Paid
R00878,Smyrna,19977,08/20/2009,PV,Residential,1.52,,,,10030.56,2064.43,,,Paid
R00728,Bear,19701,03/12/2009,PV,Residential,1.575,,,,12127.50,6063.75,,,Paid
R00732,Bear,19701,03/12/2009,PV,Residential,1.575,,,,12127.50,6063.75,,,Paid
R00796,Wilmington,19805,05/01/2009,PV,Residential,1.575,,,,12499.00,6249.50,,,Paid - ARRA
R01340,Bear,19701,08/09/2011,PV,Residential,1.575,,,,10973.50,1968.75,,,Paid
R00959,Wilmington,19803,12/21/2009,PV,Residential,1.6,,,,10800.00,2700.00,,,Paid
R00448,Bear,19701,07/22/2008,PV,Residential,1.62,,,,13365.00,6682.50,,,Paid
R01456,Middletown,19709,12/02/2011,PV,Residential,1.664,,,,10000.00,2080.00,,,Paid
R01545,Claymont,19703,05/15/2012,PV,Solar Lease,1.71,,,,11863.50,2137.50,,,Paid
R01731,Wilmington,19805,02/06/2013,PV,Solar Lease,1.71,,,,10221.00,2143.75,,,Paid
R00519,Newark,19713,09/26/2008,PV,Residential,1.75,,,,20965.00,9800.00,,,Paid
R00242,Middletown,19709,08/20/2007,PV,Residential,1.8,,,,19337.00,9668.50,,,Paid
R00260,Wilmington,19810,10/19/2007,PV,Residential,1.8,,,,17600.00,8800.00,,,Paid
R00285,New Castle,19720,12/21/2007,PV,Residential,1.8,,,,17178.00,8589.00,,,Paid
R00381,Rehoboth Beach,19971,05/12/2008,PV,Residential,1.8,,,,14850.00,7425.00,,,Paid
R00382,Rehoboth Beach,19971,05/12/2008,PV,Residential,1.8,,,,14850.00,7425.00,,,Paid
R00696,Harbeson,19951,02/25/2009,PV,Residential,1.8,,,,15300.00,7650.00,,,Paid
R00723,Bear,19701,03/12/2009,PV,Residential,1.8,,,,13770.00,6885.00,,,Paid
R00724,Bear,19701,03/12/2009,PV,Residential,1.8,,,,13770.00,6885.00,,,Paid
R00725,Bear,19701,03/12/2009,PV,Residential,1.8,,,,13770.00,6885.00,,,Paid
R00726,Bear,19701,03/12/2009,PV,Residential,1.8,,,,13770.00,6885.00,,,Paid
R00727,Bear,19701,03/12/2009,PV,Residential,1.8,,,,13770.00,6885.00,,,Paid
R01265,Rehoboth Beach,19971,04/06/2011,PV,Residential,1.89,,,,13865.00,2363.00,,,Paid
R00160,Lewes,19958,11/06/2006,PV,Residential,1.9,,,,20250.00,10125.00,,,Paid
R01046,New Castle,19720,06/17/2010,PV,Residential,1.98,,,,14999.00,3749.75,,,Paid - ARRA
R00213,Wilmington,19801,06/08/2007,PV,Residential,2,,,,23900.00,11950.00,,,Paid
R00236,Wilmington,19808,08/13/2007,PV,Residential,2,,,,16000.00,7981.50,,,Paid
NR00032,Wilmington,19807,09/10/2007,PV,Non_Residential,2,,,,24000.00,12000.00,,,Paid
R00647,Rehoboth Beach,19971,12/22/2008,PV,Residential,2,,,,18000.00,9000.00,,,Paid
R00774,Rehoboth Beach,19971,04/20/2009,PV,Residential,2,,,,15900.00,7950.00,,,Paid
R00815,Wilmington,19803,05/04/2009,PV,Residential,2.07,,,,18732.00,7866.00,,,Paid
R00474,Hockessin,19707,08/06/2008,PV,Residential,2.1,,,,18900.00,9450.00,,,Paid
R00469,Wilmington,19803,07/24/2008,PV,Residential,2.15,,,,17850.00,8593.00,,,Paid
R01317,Bethany Beach,19930,03/17/2011,PV,Residential,2.16,,,,15500.00,2700.00,,,Paid
R00594,Newark,19711,11/13/2008,PV,Residential,2.2,,,,18700.00,9350.00,,,Paid
NR00007,Wilmington,19806,01/23/2004,PV,Non_Residential,2.22,,,,22000.00,11000.00,,,Paid
R00306,Milton,19968,01/31/2008,PV,Residential,2.22,,,,23066.00,11533.00,,,Paid
R01180,Newark,19713,12/03/2010,PV,Residential,2.22,,,,20000.00,5000.00,,,Paid
R01114,Dover,19901,09/15/2010,PV,Residential,2.25,,,,15750.00,3937.50,,,Paid
R01916,Ocean View,19970,10/01/2013,PV,Residential,2.29,,,,9079.16,2868.75,,,Paid
R00571,New Castle,19720,10/08/2008,PV,Residential,2.3,,,,20700.00,10350.00,,,Paid
NR00246,Wilmington,19806,05/09/2012,PV,Non_Residential,2.35,,,,,4993.75,,,Paid
