district,year,month,system_cost,system_count,rebate,capacity,date,rebate_eff(W/$),tech_cost($/W)
3,2021,10,245282.0,6,31142.5,66855.0,1/10/21,2.15,3.67
5,2021,10,45000.0,1,6000.0,13870.0,1/10/21,2.31,3.24
6,2021,10,164089.0,7,34915.5,56685.0,1/10/21,1.62,2.89
8,2021,10,252638.0,7,35815.0,57710.0,1/10/21,1.61,4.38
10,2021,10,336187.0,9,50820.0,88170.0,1/10/21,1.73,3.81
13,2021,10,178841.0,7,32350.0,49590.0,1/10/21,1.53,3.61
14,2021,10,127632.0,5,26070.0,41100.0,1/10/21,1.58,3.11
15,2021,10,24885.0,1,3927.0,5610.0,1/10/21,1.43,4.44
16,2021,10,31713.0,1,2079.0,2970.0,1/10/21,1.43,10.68
17,2021,10,80559.0,2,9927.0,14520.0,1/10/21,1.46,5.55
20,2021,10,41453.0,2,10032.0,17970.0,1/10/21,1.79,2.31
21,2021,10,37393.0,1,6000.0,8840.0,1/10/21,1.47,4.23
3,2021,11,176357.0,7,29467.5,48125.0,1/11/21,1.63,3.66
6,2021,11,174975.0,5,23973.5,41925.0,1/11/21,1.75,4.17
8,2021,11,122970.0,4,20028.0,31880.0,1/11/21,1.59,3.86
10,2021,11,125461.0,5,29283.0,43970.0,1/11/21,1.5,2.85
13,2021,11,238016.0,8,41227.0,63790.0,1/11/21,1.55,3.73
14,2021,11,58961.0,2,6102.144,14745.92,1/11/21,2.42,4.0
17,2021,11,48588.0,2,10410.0,16520.0,1/11/21,1.59,2.94
18,2021,11,60959.0,2,11474.0,19040.0,1/11/21,1.66,3.2
20,2021,11,266867.0,8,46284.0,101360.0,1/11/21,2.19,2.63
21,2021,11,102000.0,3,16788.0,29920.0,1/11/21,1.78,3.41
3,2021,12,132116.0,4,17684.0,29960.0,1/12/21,1.69,4.41
5,2021,12,65703.0,1,6000.0,9570.0,1/12/21,1.59,6.87
6,2021,12,59905.0,2,11621.0,19550.0,1/12/21,1.68,3.06
8,2021,12,214476.0,7,30979.510000000002,45173.58,1/12/21,1.46,4.75
10,2021,12,193952.0,4,24000.0,41190.0,1/12/21,1.72,4.71
13,2021,12,60736.0,2,9380.0,13400.0,1/12/21,1.43,4.53
14,2021,12,48227.0,1,6000.0,14280.0,1/12/21,2.38,3.38
15,2021,12,48700.0,1,6000.0,12540.0,1/12/21,2.09,3.88
17,2021,12,26576.0,2,5390.0,7700.0,1/12/21,1.43,3.45
20,2021,12,83771.0,3,15142.0,37880.0,1/12/21,2.5,2.21
21,2021,12,145928.0,3,17186.0,55035.0,1/12/21,3.2,2.65
2,2022,1,29600.0,1,3822.0,5460.0,1/1/22,1.43,5.42
3,2022,1,226867.0,6,31216.0,51260.0,1/1/22,1.64,4.43
5,2022,1,69389.0,2,8016.0,11520.0,1/1/22,1.44,6.02
6,2022,1,29223.0,1,6000.0,10950.0,1/1/22,1.82,2.67
8,2022,1,96684.0,2,12000.0,26465.0,1/1/22,2.21,3.65
10,2022,1,178970.0,7,37906.0,57580.0,1/1/22,1.52,3.11
13,2022,1,303267.0,9,42969.0,64285.0,1/1/22,1.5,4.72
14,2022,1,94485.0,2,12000.0,25690.0,1/1/22,2.14,3.68
15,2022,1,21900.0,1,6000.0,8960.0,1/1/22,1.49,2.44
16,2022,1,89921.0,2,8016.0,16080.0,1/1/22,2.01,5.59
17,2022,1,63162.0,2,9065.0,12950.0,1/1/22,1.43,4.88
18,2022,1,61800.0,1,6000.0,12350.0,1/1/22,2.06,5.0
20,2022,1,54137.0,2,7620.0,14000.0,1/1/22,1.84,3.87
21,2022,1,45200.0,1,6000.0,12240.0,1/1/22,2.04,3.69
2,2022,2,18367.0,1,2810.5,4015.0,1/2/22,1.43,4.57
