date,system_cost,system_count,rebate,capacity,rebate_eff(W/$),rebate_eff(W/$)_p25,rebate_eff(W/$)_p75,tech_cost($/W),tech_cost($/W)_p25,tech_cost($/W)_p75
2015-01-31,3793441.0,118,556066.25,878105,1.5,1.24,1.71,3.94,3.94,4.9
2015-02-28,2921674.0,90,406294.75,616255,1.44,1.22,1.66,5.0,3.78,5.0
2015-03-31,2517491.0,82,379615.75,582355,1.34,1.18,1.7,5.0,3.73,5.0
2015-04-30,1782506.0,60,292117.0,475300,1.54,1.3,1.71,3.73,3.27,3.78
2015-05-31,1639145.0,57,270889.75,430075,1.47,1.33,1.77,3.73,3.73,4.0
2015-06-30,1060348.0,41,193171.75,294295,1.49,1.33,1.69,3.73,3.28,3.73
2015-07-31,2932195.0,88,428430.5,698966,1.49,1.26,1.82,3.73,3.6,5.0
2015-08-31,1502325.0,50,242785.75,382495,1.56,1.27,1.71,3.73,3.73,5.0
2015-09-30,1808018.0,61,283183.25,483805,1.47,1.27,1.84,3.73,3.57,3.73
2015-10-31,806856.0,29,64487.0,224005,3.06,1.91,8.93,3.73,3.18,3.73
2015-11-30,683070.0,23,67846.0,206340,2.72,2.08,5.0,3.31,3.0,3.7
2015-12-31,399322.0,16,44651.5,112030,2.32,1.72,3.46,3.7,3.47,3.73
2016-01-31,389703.0,13,41219.0,124203,2.55,2.38,4.32,3.25,2.84,3.59
2016-02-29,622510.0,22,62177.5,148310,2.13,1.56,5.27,3.83,3.4,5.0
2016-03-31,3187639.0,77,98670.0,595075,6.25,4.33,9.1,5.0,5.0,5.26
2016-04-30,3432327.0,82,106058.5,588895,6.0,3.92,8.58,5.0,5.0,6.97
2016-05-31,3580573.0,93,126457.0,666090,6.24,3.18,8.58,5.0,4.45,5.88
2016-06-30,1087497.0,32,60237.0,261725,4.81,3.05,6.66,4.45,3.01,5.57
2016-07-31,631341.0,21,59848.0,177405,2.62,2.29,3.82,3.3,3.1,4.26
2016-08-31,3791268.0,87,111155.0,674475,7.28,3.94,9.1,5.0,4.45,7.53
2016-09-30,6189977.0,152,182394.0,1018400,5.93,3.89,8.06,5.0,4.45,8.33
2016-10-31,4604303.0,111,138885.5,757855,5.2,3.28,7.4,6.29,4.45,8.74
2016-11-30,5337825.0,133,190893.0,949586,5.2,3.15,7.8,5.0,4.04,8.2
2016-12-31,4552504.0,113,133927.5,715960,4.94,3.12,7.54,6.46,4.04,8.84
2017-01-31,5061929.0,133,166577.0,857770,5.2,3.38,7.42,5.25,4.04,8.08
2017-02-28,2459338.0,68,97838.25,431920,5.2,2.86,6.76,5.0,4.04,7.74
2017-03-31,508984.0,13,19300.0,101915,6.24,3.0,9.36,4.45,4.04,6.73
2017-04-30,526042.0,17,40612.0,155375,3.67,3.11,4.94,3.2,2.88,4.04
2017-05-31,487637.0,15,27274.0,104000,4.2,2.17,5.46,4.45,3.48,7.4
2017-06-30,443307.0,12,25580.7,96467,3.1,2.16,6.4,4.6,3.63,5.67
2017-07-31,1642486.0,44,68869.0,325175,4.5,2.86,6.76,5.51,3.92,8.03
2017-08-31,2893420.0,66,88362.5,502415,6.16,3.94,7.54,5.89,4.04,8.75
2017-09-30,390029.0,14,37819.5,130300,3.25,2.51,4.29,2.79,2.39,3.6
2017-10-31,273938.0,11,32067.5,75560,2.2,2.0,2.52,3.42,2.8,4.37
2017-11-30,301515.0,11,31550.0,106190,3.53,2.13,3.86,2.55,2.36,3.26
